Regio's,Perioden,Beginstand voorraad,Nieuwbouw,Eindstand voorraad
Wassenaar,2012,12078,19,12100
Wassenaar,2016,12213,10,12220
Wassenaar,2020,12222,26,12287
Wassenaar,2024,12367,98,12461
Waterland,2012,7026,3,7033
Waterland,2016,7280,2,7241
Waterland,2020,7319,82,7411
Waterland,2024,7497,14,7510
Weert,2012,21276,242,21619
Weert,2016,22504,140,22402
Weert,2020,22948,274,23236
Weert,2024,23832,66,23912
Weesp,2012,8387,35,8421
Weesp,2016,8640,65,8748
Weesp,2020,9197,192,9386
Weesp,2024,,,
Werkendam,2012,10212,9,10200
Werkendam,2016,10520,97,10594
Werkendam,2020,,,
Werkendam,2024,,,
West Betuwe,2012,,,
West Betuwe,2016,,,
West Betuwe,2020,20875,135,20996
West Betuwe,2024,21607,238,21792
West Maas en Waal,2012,7520,122,7647
West Maas en Waal,2016,7960,63,7959
West Maas en Waal,2020,8222,159,8375
West Maas en Waal,2024,8711,129,8896
Westerkwartier,2012,,,
Westerkwartier,2016,,,
Westerkwartier,2020,27309,196,27494
Westerkwartier,2024,28055,199,28232
Westerveld,2012,8087,0,8235
Westerveld,2016,8312,31,8395
Westerveld,2020,8529,0,8553
Westerveld,2024,8806,60,8898
Westervoort,2012,6414,14,6427
Westervoort,2016,6578,36,6613
Westervoort,2020,6723,22,6744
Westervoort,2024,6816,0,6838
Westerwolde,2012,,,
Westerwolde,2016,,,
Westerwolde,2020,11982,10,11937
Westerwolde,2024,12005,42,12050
Westland,2012,40761,432,41185
Westland,2016,42622,583,43187
Westland,2020,45063,824,45956
Westland,2024,47590,589,48147
Weststellingwerf,2012,11210,16,11275
Weststellingwerf,2016,11495,58,11536
Weststellingwerf,2020,11711,78,11757
Weststellingwerf,2024,12033,38,12042
Westvoorne,2012,6484,4,6509
Westvoorne,2016,6732,27,6747
Westvoorne,2020,6890,61,6943
Westvoorne,2024,,,
Wierden,2012,9326,63,9409
Wierden,2016,9456,196,9645
Wierden,2020,9860,78,9930
Wierden,2024,10123,245,10369
Wijchen,2012,16920,260,17187
Wijchen,2016,17518,23,17535
Wijchen,2020,18023,171,18190
Wijchen,2024,18487,301,18807
Wijdemeren,2012,10182,155,10315
Wijdemeren,2016,10381,162,10583
Wijdemeren,2020,10691,84,10800
Wijdemeren,2024,10880,60,10980
Wijk bij Duurstede,2012,9337,106,9461
Wijk bij Duurstede,2016,9857,67,9934
Wijk bij Duurstede,2020,10107,145,10273
Wijk bij Duurstede,2024,10403,26,10437
Winsum,2012,5825,4,5890
Winsum,2016,6029,5,6021
Winsum,2020,,,
Winsum,2024,,,
Winterswijk,2012,12321,65,12685
Winterswijk,2016,12891,45,12933
Winterswijk,2020,13139,85,13245
Winterswijk,2024,13480,16,13515
Woensdrecht,2012,9226,5,9295
Woensdrecht,2016,9642,68,9779
Woensdrecht,2020,9866,33,9928
Woensdrecht,2024,10074,166,10216
Woerden,2012,20524,197,20720
Woerden,2016,21403,211,21625
Woerden,2020,22106,294,22437
Woerden,2024,23125,47,23206
De Wolden,2012,9573,26,9599
De Wolden,2016,10093,41,10084
De Wolden,2020,10370,83,10460
De Wolden,2024,10593,15,10604
Wormerland,2012,6520,4,6512
Wormerland,2016,6684,147,6764
Wormerland,2020,6971,9,6919
Wormerland,2024,7171,87,7277
Woudenberg,2012,4662,137,4821
Woudenberg,2016,4893,72,4963
Woudenberg,2020,5188,97,5286
Woudenberg,2024,5705,49,5744
Woudrichem,2012,5639,9,5704
Woudrichem,2016,5931,30,5995
Woudrichem,2020,,,
Woudrichem,2024,,,
Zaanstad,2012,65099,865,66110
Zaanstad,2016,66961,391,67476
Zaanstad,2020,68947,219,69114
Zaanstad,2024,70945,1545,72329
Zaltbommel,2012,10096,151,10336
Zaltbommel,2016,10985,75,11030
Zaltbommel,2020,11623,234,11852
Zaltbommel,2024,12160,150,12323
Zandvoort,2012,9204,28,9304
Zandvoort,2016,9450,28,9517
Zandvoort,2020,9708,2,9706
Zandvoort,2024,9828,70,9882
Zederik,2012,5279,76,5316
Zederik,2016,5500,77,5550
Zederik,2020,,,
Zederik,2024,,,
Zeevang,2012,2542,1,2548
Zeevang,2016,,,
Zeevang,2020,,,
Zeevang,2024,,,
Zeewolde,2012,7913,15,7959
Zeewolde,2016,8166,135,8305
Zeewolde,2020,8678,150,8837
Zeewolde,2024,9712,139,9858
Zeist,2012,26534,217,26976
Zeist,2016,27957,335,28251
Zeist,2020,29245,331,29638
Zeist,2024,30196,82,30260
Zevenaar,2012,14062,75,14507
Zevenaar,2016,14677,113,14795
Zevenaar,2020,19970,251,20227
Zevenaar,2024,20723,205,20924
Zijpe,2012,4807,24,4834
Zijpe,2016,,,
Zijpe,2020,,,
Zijpe,2024,,,
Zoetermeer,2012,53029,825,53868
Zoetermeer,2016,55377,383,55826
Zoetermeer,2020,56458,168,56421
Zoetermeer,2024,57653,678,58212
Zoeterwoude,2012,3204,1,3250
Zoeterwoude,2016,3365,158,3527
Zoeterwoude,2020,3532,202,3740
Zoeterwoude,2024,4142,439,4578
Zuidhorn,2012,7476,9,7474
Zuidhorn,2016,7789,21,7800
Zuidhorn,2020,,,
Zuidhorn,2024,,,
Zuidplas,2012,16175,201,16350
Zuidplas,2016,16787,232,17034
Zuidplas,2020,18031,472,18566
Zuidplas,2024,19285,418,19670
Zundert,2012,8972,40,9049
Zundert,2016,9197,107,9280
Zundert,2020,9472,126,9649
Zundert,2024,10085,107,10129
Zutphen,2012,20988,245,21324
Zutphen,2016,21698,102,21806
Zutphen,2020,22267,361,22651
Zutphen,2024,23592,98,23653
Zwartewaterland,2012,8352,62,8376
Zwartewaterland,2016,8648,59,8711
Zwartewaterland,2020,8942,53,9013
Zwartewaterland,2024,9232,75,9305
Zwijndrecht,2012,20154,54,20195
Zwijndrecht,2016,20411,67,20451
Zwijndrecht,2020,20537,154,20720
Zwijndrecht,2024,20831,57,20758
Zwolle,2012,53314,458,53978
Zwolle,2016,55473,523,56066
Zwolle,2020,58492,873,59491
Zwolle,2024,61187,445,61693
Bron: CBS,,,,
